字典值,字典名称,字典中文名称,字典英文名称,字典枚举描述,父级字典值,类型代码,类型名称,是否有效,数据来源 0：新系统 1：老系统,导入时间
OLD_01,一般标的,,,一般标的,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_02,油漆/轮胎,,,油漆/轮胎,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_03,纸浆及造纸,,,纸浆及造纸,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_05,仓储类（仓储保额/总保额>50%）,,,仓储类（仓储保额/总保额>50%）,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_06,半导体体企业（包括TFTLCD厂）,,,半导体体企业（包括TFTLCD厂）,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_09,电厂（不含联合循环电厂和水电厂）,,,电厂（不含联合循环电厂和水电厂）,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_10,循环电厂（单机组功率≤150MW）,,,循环电厂（单机组功率≤150MW）,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_14,再保除外,,,再保除外,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_17,半导体生产,,,半导体生产,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_18,采矿业,,,采矿业,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_19,出险时的重置价值,,,出险时的重置价值,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_20,出险时的评估价值,,,出险时的评估价值,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_21,出险时的市场价值,,,出险时的市场价值,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_22,出险时的帐面原值,,,出险时的帐面原值,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_23,出险时的帐面净值,,,出险时的帐面净值,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_27,详见清单,,,详见清单,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_28,集装箱车,,,集装箱车,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_31,纺织业,,,纺织业,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_32,化工厂,,,化工厂,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_33,火/风力电厂,,,火/风力电厂,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_34,露天采矿业,,,露天采矿业,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_35,能源开发,,,能源开发,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_36,其他不能进入再保合同的标的,,,其他不能进入再保合同的标的,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_37,石化厂,,,石化厂,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_38,输变电线,,,输变电线,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_39,水电厂,,,水电厂,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_40,人保,,,人保,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_41,太平洋,,,太平洋,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_42,平安,,,平安,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_45,大地,,,大地,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_46,阳光,,,阳光,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_48,永安,,,永安,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_51,太平,,,太平,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_52,油漆/轮胎/纸浆及造纸/化工厂/纺织业/仓库(仓库保额/总保额>50％),,,油漆/轮胎/纸浆及造纸/化工厂/纺织业/仓库(仓库保额/总保额>50％),,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_53,水电厂/循环电厂(单机组功率=<150MW),,,水电厂/循环电厂(单机组功率=<150MW),,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_54,石化厂/半导体(LCD/TFT)厂/地下采矿业/循环电厂(单机组功率>150MW),,,石化厂/半导体(LCD/TFT)厂/地下采矿业/循环电厂(单机组功率>150MW),,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_55,新保,,,新保,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_990,其他(它),,,其他(它),,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_011010M0401,商场、购物中心及综合商业体内的商铺,,,商场、购物中心及综合商业体内的商铺,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_011010M0402,钢混建筑内的底商（参与计算）,,,钢混建筑内的底商（参与计算）,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
OLD_011018N0201,一般标的,,,一般标的,,occupancy_nature_cd,标的类型代码,1,0,2024/04/30 09:43:00
A99-11,一、二级工业风险,,,一、二级工业风险,,occupancy_nature_cd,占用性质代码,1,0,2024/04/30 09:43:00
A99-12,三、四级工业风险,,,三、四级工业风险,,occupancy_nature_cd,占用性质代码,1,0,2024/04/30 09:43:00
A99-13,五、六级工业风险,,,五、六级工业风险,,occupancy_nature_cd,占用性质代码,1,0,2024/04/30 09:43:00
A99-17,非工业风险办公楼,,,非工业风险办公楼,,occupancy_nature_cd,占用性质代码,1,0,2024/04/30 09:43:00
A99-18,非工业风险商场等,,,非工业风险商场等,,occupancy_nature_cd,占用性质代码,1,0,2024/04/30 09:43:00
A99-19,半导体类（芯片、液晶、薄膜晶体管）,,,半导体类（芯片、液晶、薄膜晶体管）,,occupancy_nature_cd,占用性质代码,1,0,2024/04/30 09:43:00
A99-20,电信、道路、输电、管道,,,电信、道路、输电、管道,,occupancy_nature_cd,占用性质代码,1,0,2024/04/30 09:43:00
A99-990,其他(它),,,其他(它),,agro_proposal_type_cd,投保方式,1,0,2024/04/30 09:43:00
A99-1,规模养殖,,,规模养殖,,breeding_method_cd,养殖方式,1,0,2024/04/30 09:43:00
I01016,露天采矿业,,,露天采矿业,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
I01112,露天采矿业,,,露天采矿业,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
I09017,露天采矿业,,,露天采矿业,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
F02004,22512 滚装船/汽车专用船远洋运输,,,22512 滚装船/汽车专用船远洋运输,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10814,危险(钢混),,,危险(钢混),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10815,危险(砖混),,,危险(砖混),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10816,危险(砖木),,,危险(砖木),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10817,高风险(钢混),,,高风险(钢混),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10818,高风险(砖混),,,高风险(砖混),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10819,高风险(砖木),,,高风险(砖木),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10914,一般风险(地铁工程),,,一般风险(地铁工程),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10915,一般风险(地下工程),,,一般风险(地下工程),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10916,一般风险(联合循环电厂),,,一般风险(联合循环电厂),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10911,一般风险(地面),,,一般风险(地面),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10912,一般风险(凌空),,,一般风险(凌空),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10913,一般风险(高空、地下、临水),,,一般风险(高空、地下、临水),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10921,危险(地面),,,危险(地面),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10922,危险(凌空),,,危险(凌空),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10923,危险(高空、地下、临水),,,危险(高空、地下、临水),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10931,高风险(地面),,,高风险(地面),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10932,高风险(凌空),,,高风险(凌空),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
10933,高风险(高空、地下、临水),,,高风险(高空、地下、临水),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
11000,综合险通用风险代码,,,综合险通用风险代码,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
11111,一般风险(一级标准船，船龄<15年，排水量>5000T),,,一般风险(一级标准船，船龄<15年，排水量>5000T),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
11112,一般风险(非一级标准船，船龄<15年，排水量>5000T),,,一般风险(非一级标准船，船龄<15年，排水量>5000T),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
11113,一般风险(船龄>15年，排水量<5000T),,,一般风险(船龄>15年，排水量<5000T),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
11121,危险(一级标准船，船龄<15年，排水量>5000T),,,危险(一级标准船，船龄<15年，排水量>5000T),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
11122,危险(非一级标准船，船龄<15年，排水量>5000T),,,危险(非一级标准船，船龄<15年，排水量>5000T),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
11123,危险(船龄>15年，排水量<5000T),,,危险(船龄>15年，排水量<5000T),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
11131,高风险(非一级标准船，船龄<15年，排水量>5000T),,,高风险(非一级标准船，船龄<15年，排水量>5000T),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
11132,高风险(一级标准船，船龄<15年，排水量>5000T),,,高风险(一级标准船，船龄<15年，排水量>5000T),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
11133,高风险(船龄>15年，排水量<5000T),,,高风险(船龄>15年，排水量<5000T),,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201001,一般标的   水渍风险低     火灾风险低,,,一般标的   水渍风险低     火灾风险低,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201002,一般标的   水渍风险高     火灾风险高,,,一般标的   水渍风险高     火灾风险高,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201003,一般标的   水渍风险低     火灾风险高,,,一般标的   水渍风险低     火灾风险高,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201004,一般标的   水渍风险高     火灾风险低,,,一般标的   水渍风险高     火灾风险低,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201005,油漆/轮胎/纸浆及造纸/化工厂/纺织业/仓库(仓库保额/,,,油漆/轮胎/纸浆及造纸/化工厂/纺织业/仓库(仓库保额/,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201006,油漆/轮胎/纸浆及造纸/化工厂/纺织业/仓库(仓库保额/,,,油漆/轮胎/纸浆及造纸/化工厂/纺织业/仓库(仓库保额/,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201007,油漆/轮胎/纸浆及造纸/化工厂/纺织业/仓库(仓库保额/,,,油漆/轮胎/纸浆及造纸/化工厂/纺织业/仓库(仓库保额/,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201008,油漆/轮胎/纸浆及造纸/化工厂/纺织业/仓库(仓库保额/,,,油漆/轮胎/纸浆及造纸/化工厂/纺织业/仓库(仓库保额/,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201009,水电厂/循环电厂(单机组功率=<150MW) 水渍风险低  火,,,水电厂/循环电厂(单机组功率=<150MW) 水渍风险低  火,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
201010,水电厂/循环电厂(单机组功率=<150MW) 水渍风险高  火,,,水电厂/循环电厂(单机组功率=<150MW) 水渍风险高  火,,plp_reinsurance_risk_level_cd,再保风险等级,1,0,2024/04/30 09:43:00
